# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126792 2457532.75115 2642 0.0476 -3.3050308155e+05 1.5338026067e+03 -1.6883166542e+03 -1.0408214589e+00 6.9774080559e+00 -2.1935477113e-01 -1.5549981445e+05 1.5695678742e+03 1.3092093041e+03 -3.3372713843e+00 -1.7177258562e+00 -6.1576128851e-01
126793 2457532.77159 2835 0.0482 -3.3129437582e+05 1.5398413514e+03 -1.6869971029e+03 -1.0523318025e+00 6.9725855833e+00 -2.1883030287e-01 -1.5569532625e+05 1.5708568131e+03 1.3076770827e+03 -3.3394255066e+00 -1.7132358862e+00 -6.2141830688e-01
126794 2457532.79202 2649 0.0482 -3.3125952675e+05 1.5395812518e+03 -1.6869969201e+03 -1.0518951822e+00 6.9716753135e+00 -2.2304221316e-01 -1.5583991033e+05 1.5719627139e+03 1.3079817813e+03 -3.3415812119e+00 -1.7151674010e+00 -6.2517375872e-01
126795 2457532.81246 2415 0.0483 -3.3105419038e+05 1.5383062789e+03 -1.6846007106e+03 -1.0501087215e+00 6.9606332774e+00 -2.3286236867e-01 -1.5590768363e+05 1.5729088322e+03 1.3121238242e+03 -3.3441629572e+00 -1.7305644275e+00 -6.2507888470e-01
126796 2457532.83289 2385 0.0488 -3.3240545031e+05 1.5486773838e+03 -1.6818334280e+03 -1.0699399706e+00 6.9513076430e+00 -2.2817243147e-01 -1.5626923866e+05 1.5756345258e+03 1.3124254212e+03 -3.3493135055e+00 -1.7319300804e+00 -6.2611212000e-01
126797 2457532.85333 2481 0.0480 -3.3186627276e+05 1.5442919547e+03 -1.6852208688e+03 -1.0608890946e+00 6.9675998061e+00 -2.1099680652e-01 -1.5676595200e+05 1.5789781910e+03 1.3091275558e+03 -3.3548991498e+00 -1.7200833459e+00 -6.2822399423e-01
126798 2457532.87376 2273 0.0490 -3.3157366867e+05 1.5421311697e+03 -1.6850549934e+03 -1.0570915815e+00 6.9634061097e+00 -2.2767507833e-01 -1.5643357426e+05 1.5764240219e+03 1.3084005428e+03 -3.3500437145e+00 -1.7182562760e+00 -6.3237696542e-01
126799 2457532.89420 2691 0.0479 -3.3240785214e+05 1.5490194094e+03 -1.6787685558e+03 -1.0712099632e+00 6.9393635861e+00 -2.3047190157e-01 -1.5616167712e+05 1.5746014170e+03 1.3103392862e+03 -3.3469673578e+00 -1.7243577191e+00 -6.2715488387e-01
126800 2457532.91464 2212 0.0476 -3.3137790805e+05 1.5414035189e+03 -1.6781868224e+03 -1.0571698110e+00 6.9364998106e+00 -2.3363401565e-01 -1.5584641220e+05 1.5722441813e+03 1.3103066571e+03 -3.3426488363e+00 -1.7258747239e+00 -6.3482990597e-01
126801 2457532.93507 2252 0.0480 -3.3002756208e+05 1.5306889334e+03 -1.6842496953e+03 -1.0360981768e+00 6.9571227458e+00 -2.4291289587e-01 -1.5608176822e+05 1.5741463941e+03 1.3117319819e+03 -3.3463284217e+00 -1.7285770622e+00 -6.2274820259e-01
